name,lat,long,area,url2,url,homepage,campsites,trails,activity,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Rocky Mountain NP,40.3557,-105.6973,1862889427,https://drive.google.com/uc?id=1TKc3Gi-VLqiacgwu8tHDWScquq-IIp7U,image/Rocky_Mountain.jpg,https://www.nps.gov/romo/index.htm,570,2924.17078,"Arts & Culture, Biking, Birdwatching, Camping, Children's Programs, Cross-Country Skiing, Fishing, Hiking, Horseback Riding, Off-Roading, Picnicking, Scenic Drive, Shopping, Skiing, Stargazing, Water Activities, Wildlife Viewing, Winter Sports",1.31E+05,1.15E+05,1.58E+05,1.57E+05,2.88E+05,8.42E+05,9.01E+05,8.26E+05,7.93E+05,3.35E+05,1.59E+05,1.23E+05
Saguaro NP,32.2091,-110.7575,524285419.4,https://drive.google.com/uc?id=1CC5qQoVKni03EM_RVxzFv2kH7TB3a9_X,image/Saguaro.jpg,https://www.nps.gov/sagu/index.htm,6,696.522352,"Biking, Camping, Children's Programs, Hiking, Off-Roading, Scenic Drive, Stargazing, Tours",1.14E+05,1.36E+05,1.32E+05,1.15E+05,7.74E+04,4.27E+04,4.87E+04,5.32E+04,4.68E+04,6.54E+04,8.82E+04,7.87E+04
Sequoia NP,36.7128,-118.5874,2553244953,https://drive.google.com/uc?id=1nEQGp8qB8mUBmFo5pa_-X6r7FsG-KW05,image/Sequoia.jpg,https://www.nps.gov/seki/index.htm,1216,2288.803348,"Birdwatching, Camping, Caving, Children's Programs, Climbing, Cross-Country Skiing, Fishing, Fly Fishing, Hiking, Historical, Horseback Riding, Off-Roading, Picnicking, Scenic Drive, Shopping, Skiing, Stargazing, Tours, Wildlife Viewing, Winter Sports",3.68E+04,3.77E+04,6.94E+04,8.59E+04,1.44E+05,1.98E+05,1.92E+05,1.89E+05,1.65E+05,9.06E+04,6.69E+04,5.95E+04
Shenandoah NP,38.4924,-78.4691,1278732694,https://drive.google.com/uc?id=1NY-xNQaV0j9RyVD76LQpIuPZ6Gjhxm1V,image/Shenandoah.jpg,https://www.nps.gov/shen/index.htm,575,2942.517256,"Birdwatching, Camping, Children's Programs, Climbing, Fishing, Geocaching, Hiking, Historical, Horseback Riding, Off-Roading, Picnicking, Scenic Drive, Shopping, Stargazing, Wildlife Viewing",2.63E+04,2.67E+04,3.99E+04,9.76E+04,1.42E+05,1.61E+05,1.78E+05,1.80E+05,1.37E+05,1.54E+05,1.37E+05,3.45E+04
Theodore Roosevelt NP,47.1778,-103.43,616847540.9,https://drive.google.com/uc?id=1OkZR9NOBdhMT1gFoqoRUE2Yq2qJHPSUJ,image/Theodore_Roosevelt.jpg,https://www.nps.gov/thro/index.htm,121,509.517044,"Biking, Birdwatching, Camping, Canoeing, Children's Programs, Cross-Country Skiing, Fishing, Fly Fishing, Hiking, Historical, Horseback Riding, Kayaking, Tours, Wildlife Viewing, Winter Sports",3.80E+03,5.08E+03,1.33E+04,1.80E+04,7.26E+04,1.42E+05,1.62E+05,1.55E+05,1.00E+05,4.41E+04,1.85E+04,2.62E+03
Virgin Islands NP,18.3428,-64.7419,67328650.68,https://drive.google.com/uc?id=1-62-3wq18h_e1HcoraT8QFLg2tepG3Ax,image/Virgin_Islands.jpg,https://www.nps.gov/viis/index.htm,0,36.53,"Arts & Culture, Birdwatching, Boating, Camping, Canoeing, Fishing, Hiking, Kayaking, Picnicking, Shopping, Stargazing, Swimming, Tours, Water Activities, Wildlife Viewing",6.44E+03,1.01E+04,1.26E+04,2.49E+04,2.12E+04,2.19E+04,2.19E+04,1.89E+04,7.88E+03,7.06E+03,8.54E+03,1.06E+04
Voyageurs NP,48.4837,-92.8383,1884045715,https://drive.google.com/uc?id=15Lw0YoCaLWx3MkLmMhai4E16rgxYBRw9,image/Voyageurs.jpg,https://www.nps.gov/voya/index.htm,162,49.406738,"Arts & Culture, Biking, Birdwatching, Boating, Camping, Canoeing, Children's Programs, Cross-Country Skiing, Fishing, Hiking, Historical, Kayaking, Picnicking, Shopping, Skiing, Stargazing, Swimming, Tours, Water Activities, Wildlife Viewing, Winter Sports",5.13E+03,7.54E+03,4.59E+03,2.69E+02,2.90E+04,4.76E+04,5.27E+04,5.29E+04,2.68E+04,1.10E+04,2.32E+03,8.24E+02
Wind Cave NP,43.5801,-103.4395,261727428.8,https://drive.google.com/uc?id=184i_YgXpgkeXDySvuBnArcb_wVRTVQ4D,image/Wind_Cave.jpg,https://www.nps.gov/wica/index.htm,61,85.134086,"Birdwatching, Camping, Caving, Children's Programs, Hiking, Historical, Horseback Riding, Off-Roading, Picnicking, Scenic Drive, Shopping, Tours, Wildlife Viewing",1.17E+04,1.62E+04,2.45E+04,3.77E+04,5.72E+04,1.17E+05,1.29E+05,1.24E+05,8.69E+04,2.97E+04,1.64E+04,1.07E+04
Wrangell-St. Elias NP & PRES,61.4182,-142.6028,1.43E+11,https://drive.google.com/uc?id=1o66Qvfk_9WxYIzhL4hV0xCU2IRCMKVRC,image/Wrangell_St_Elias.jpg,https://www.nps.gov/wrst/index.htm,10,148.06,"Arts & Culture, Biking, Birdwatching, Boating, Camping, Children's Programs, Climbing, Fishing, Fly Fishing, Foraging, Hiking, Historical, Hunting, Kayaking, Off-Roading, Picnicking, Scenic Drive, Shopping, Tours, Whitewater Rafting, Wildlife Viewing, Winter Sports",2.50E+01,9.50E+01,2.30E+02,5.20E+02,4.97E+03,1.55E+04,2.23E+04,2.06E+04,7.63E+03,5.30E+02,6.00E+01,3.50E+01
Yellowstone NP,44.5982,-110.5472,17557091672,https://drive.google.com/uc?id=1M4BlYYNPJ8JqileBf-AT_xW95imItmXK,image/Yellowstone.jpg,https://www.nps.gov/yell/index.htm,2178,4870.345642,"Biking, Boating, Camping, Children's Programs, Cross-Country Skiing, Fishing, Hiking, Historical, Horseback Riding, Kayaking, Off-Roading, Picnicking, Scenic Drive, Shopping, Skiing, Stargazing, Tours, Wildlife Viewing, Winter Sports",3.04E+04,3.47E+04,2.53E+04,4.98E+04,4.63E+05,8.37E+05,9.16E+05,8.51E+05,6.78E+05,2.33E+05,1.75E+04,2.20E+04
Yosemite NP,37.8488,-119.5572,4849245281,https://drive.google.com/uc?id=1990sSaSL1yu44M4-1mvt1FzTlE0RX2xm,image/Yosemite.jpeg,https://www.nps.gov/yose/index.htm,1090,6739.433168,"Arts & Culture, Biking, Birdwatching, Boating, Camping, Children's Programs, Fishing, Hiking, Historical, Horseback Riding, Kayaking, Off-Roading, Scenic Drive, Shopping, Skiing, Stargazing, Swimming, Tours, Water Activities, Wildlife Viewing, Winter Sports",1.59E+05,1.91E+05,2.56E+05,3.00E+05,4.01E+05,6.37E+05,5.66E+05,4.83E+05,5.24E+05,4.02E+05,2.26E+05,1.75E+05
Zion NP,37.2984,-113.0265,952718701.8,https://www.nps.gov/common/uploads/structured_data/3C7F0098-1DD8-B71B-0B6C0191D7391384.jpg,image/Zion.jpg,https://www.nps.gov/zion/index.htm,176,1129.434812,"Biking, Birdwatching, Camping, Children's Programs, Hiking, Historical, Stargazing, Tours, Wildlife Viewing",1.15E+05,1.35E+05,3.91E+05,5.24E+05,5.14E+05,5.09E+05,5.07E+05,5.11E+05,5.17E+05,4.05E+05,2.69E+05,1.47E+05
