park1,park2,activity similariy,crowdedness similarity Jan,crowdedness similarity Feb,crowdedness similarity Mar,crowdedness similarity Apr,crowdedness similarity May,crowdedness similarity Jun,crowdedness similarity Jul,crowdedness similarity Aug,crowdedness similarity Sep,crowdedness similarity Oct,crowdedness similarity Nov,crowdedness similarity Dec
Carlsbad Caverns NP,Saguaro NP,0.4472,0.9418,0.9801,0.9431,0.8340,0.8109,0.8920,0.7614,0.9938,0.9792,0.6934,0.6657,0.9788
Carlsbad Caverns NP,Sequoia NP,0.7071,0.3344,0.7873,0.3218,0.4973,0.4792,0.5017,0.3583,0.2956,0.3247,0.3943,0.2538,0.5890
Carlsbad Caverns NP,Shenandoah NP,0.6532,0.2936,0.8362,0.2572,0.4229,0.6949,0.6064,0.5139,0.8451,0.7180,0.5430,0.4795,0.6951
Carlsbad Caverns NP,Theodore Roosevelt NP,0.5369,0.3265,0.9935,0.7383,0.5910,0.9105,0.9027,0.8135,0.9909,0.9688,0.7593,0.6838,0.9812
Carlsbad Caverns NP,Virgin Islands NP,0.5715,0.9338,0.6926,0.5148,0.9878,0.9538,0.9987,0.9369,0.9999,0.9997,0.9784,0.6769,0.9882
Carlsbad Caverns NP,Voyageurs NP,0.5521,0.2270,0.9952,0.7576,0.3469,0.6700,0.6949,0.7779,0.9682,0.9884,0.4448,0.6432,0.9853
Carlsbad Caverns NP,Wind Cave NP,0.7894,0.7855,0.9993,0.9518,0.9313,0.9764,0.9896,0.9525,0.9983,0.9953,0.8690,0.9007,0.9976
Carlsbad Caverns NP,Wrangell-St. Elias NP & PRES,0.4719,0.0401,0.7487,0.1309,0.0643,0.1624,0.2551,0.1568,0.7833,0.5558,0.0694,0.1135,0.5400
Carlsbad Caverns NP,Yellowstone NP,0.5804,0.2031,0.5661,0.1360,0.1677,0.5406,0.4955,0.4718,0.6133,0.3980,0.3587,0.0938,0.3615
Carlsbad Caverns NP,Yosemite NP,0.5521,0.5718,0.6479,0.5022,0.6138,0.7753,0.6415,0.7957,0.6602,0.0829,0.4373,0.6686,0.2888
Carlsbad Caverns NP,Zion NP,0.6325,0.9456,0.9496,0.9136,0.9445,0.8931,0.8943,0.6317,0.9240,0.7226,0.7114,0.9530,0.8804
Channel Islands NP,Acadia NP,0.7298,0.7828,0.9531,0.6353,0.5113,0.9139,0.7340,0.4088,0.7762,0.6140,0.7318,0.7271,0.8825
Channel Islands NP,Arches NP,0.4743,0.7829,0.9943,0.7123,0.6789,0.8679,0.8664,0.6644,0.9908,0.9448,0.5423,0.7245,0.9815
Channel Islands NP,Badlands NP,0.6495,0.8847,0.9996,0.9340,0.9282,0.9073,0.9117,0.7003,0.9895,0.9891,0.7641,0.8635,0.9969
Channel Islands NP,Big Bend NP,0.6030,0.6586,0.9192,0.5634,0.6063,0.8691,0.8118,0.6926,0.9831,0.9550,0.7488,0.9368,0.3387
Channel Islands NP,Biscayne NP,0.6614,0.7342,0.9972,0.8780,0.8519,0.8818,0.9471,0.9311,0.9961,0.9957,0.6901,0.8105,0.9909
Channel Islands NP,Black Canyon of the Gunnison NP,0.4330,0.8276,0.9993,0.9135,0.7873,0.9097,0.9300,0.6867,0.9911,0.9954,0.7327,0.8389,0.9964
Channel Islands NP,Bryce Canyon NP,0.5276,0.8700,0.9971,0.8974,0.8134,0.7667,0.8344,0.5152,0.9753,0.8048,0.5904,0.8875,0.9818
Channel Islands NP,Canyonlands NP,0.5774,0.5225,0.9544,0.8389,0.6653,0.7471,0.7792,0.6962,0.9597,0.9142,0.8302,0.7321,0.8735
Channel Islands NP,Capitol Reef NP,0.5893,0.7345,0.9957,0.8361,0.7109,0.8204,0.8962,0.6465,0.9893,0.9451,0.6192,0.7978,0.9829
Channel Islands NP,Carlsbad Caverns NP,0.6325,0.6678,0.9974,0.8272,0.8161,0.8558,0.9298,0.8874,0.9952,0.9932,0.6044,0.6990,0.9921
Channel Islands NP,Channel Islands NP,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Channel Islands NP,Congaree NP,0.8391,0.9080,0.9985,0.9290,0.8879,0.8999,0.9615,0.9196,0.9961,0.9964,0.7078,0.7955,0.9942
Channel Islands NP,Crater Lake NP,0.7819,0.8857,0.9969,0.8689,0.7356,0.9062,0.9253,0.8317,0.9823,0.9523,0.7596,0.8320,0.9901
Channel Islands NP,Cuyahoga Valley NP,0.4160,0.6331,0.9919,0.8237,0.6920,0.6144,0.8497,0.6064,0.9815,0.9526,0.5919,0.6677,0.9654
Channel Islands NP,Death Valley NP,0.6682,0.5334,0.6231,0.5772,0.7732,0.8081,0.6499,0.5714,0.9258,0.8114,0.7373,0.7188,0.5328
Channel Islands NP,Denali NP & PRES,0.4518,0.2679,0.8701,0.3116,0.2798,0.6685,0.6095,0.4225,0.8903,0.7376,0.2381,0.2879,0.7142
Channel Islands NP,Dry Tortugas NP,0.8660,0.5840,0.9974,0.8812,0.7901,0.8163,0.9406,0.8624,0.9949,0.9931,0.5860,0.6931,0.9909
Channel Islands NP,Everglades NP,0.9037,0.5669,0.7076,0.7220,0.8957,0.8205,0.8464,0.7159,0.9849,0.9596,0.6961,0.8785,0.9845
Channel Islands NP,Gates of the Arctic NP & PRES,0.2835,0.0826,0.6106,0.1180,0.0793,0.1349,0.2006,0.1606,0.6573,0.4239,0.0774,0.1007,0.4047
Channel Islands NP,Gateway Arch NP,0.5000,0.6536,0.9954,0.7575,0.7340,0.6202,0.8564,0.4007,0.9854,0.9794,0.5555,0.6519,0.9729
Channel Islands NP,Glacier Bay NP & PRES,0.7000,0.1467,0.9588,0.3804,0.2178,0.5475,0.7002,0.5256,0.9632,0.8977,0.1701,0.2631,0.8862
Channel Islands NP,Glacier NP,0.7000,0.7506,0.8119,0.5127,0.5752,0.8046,0.7282,0.5616,0.7810,0.5870,0.6501,0.6270,0.6655
Channel Islands NP,Grand Canyon NP,0.7456,0.7594,0.9560,0.8920,0.8726,0.7719,0.8984,0.7122,0.8321,0.8261,0.8737,0.7847,0.8636
Channel Islands NP,Grand Teton NP,0.5330,0.8367,0.8515,0.5714,0.6216,0.6601,0.7795,0.6124,0.7948,0.7324,0.6954,0.6384,0.7131
Channel Islands NP,Great Basin NP,0.5590,0.7551,0.9993,0.8742,0.8349,0.6796,0.8642,0.5288,0.9857,0.9752,0.5810,0.7438,0.9965
Channel Islands NP,Great Sand Dunes NP & PRES,0.7144,0.8407,0.9995,0.7072,0.5251,0.9167,0.9037,0.6750,0.9946,0.9947,0.5707,0.7700,0.9982
Channel Islands NP,Great Smoky Mountains NP,0.6682,0.8869,0.8114,0.8874,0.9174,0.8018,0.8177,0.5504,0.7316,0.5065,0.7517,0.7702,0.7287
Channel Islands NP,Guadalupe Mountains NP,0.5833,0.7542,0.9969,0.8047,0.7281,0.9011,0.9551,0.8880,0.9963,0.9962,0.6619,0.8951,0.9858
Channel Islands NP,Haleakala NP,0.6124,0.6541,0.9905,0.8383,0.8017,0.8226,0.9300,0.8399,0.9952,0.9905,0.6077,0.7097,0.9761
Channel Islands NP,Hawaii Volcanoes NP,0.6325,0.6387,0.9719,0.8251,0.8374,0.8977,0.7267,0.4009,0.9316,0.8764,0.7070,0.7390,0.9780
Channel Islands NP,Hot Springs NP,0.5000,0.4996,0.9870,0.7966,0.7065,0.8506,0.9014,0.7503,0.9877,0.9747,0.5675,0.7191,0.9747
Channel Islands NP,Indiana Dunes NP,0.6929,0.6818,0.9982,0.7999,0.7896,0.8009,0.8831,0.5558,0.9579,0.9813,0.5985,0.8443,0.9814
Channel Islands NP,Isle Royale NP,0.7627,0.6530,0.9958,0.7864,0.6184,0.8817,0.7007,0.9463,0.9932,0.9903,0.6240,0.7318,0.9856
Channel Islands NP,Joshua Tree NP,0.6013,0.6215,0.7552,0.6805,0.6639,0.8588,0.7589,0.6044,0.9524,0.8528,0.5071,0.8195,0.6875
Channel Islands NP,Katmai NP & PRES,0.5669,0.1528,0.9487,0.3524,0.1883,0.3885,0.5563,0.3878,0.9556,0.8721,0.1715,0.2537,0.8618
Channel Islands NP,Kenai Fjords NP,0.6875,0.2171,0.9960,0.8036,0.4558,0.8048,0.9110,0.8029,0.9939,0.9881,0.3954,0.5709,0.9875
Channel Islands NP,Kings Canyon NP,0.6149,0.6227,0.9308,0.5309,0.7271,0.8700,0.7120,0.2267,0.8247,0.8285,0.5757,0.6793,0.8332
Channel Islands NP,Kobuk Valley NP,0.6784,0.5501,0.9976,0.8966,0.7348,0.8242,0.9486,0.8821,0.9952,0.9940,0.5664,0.7874,0.9930
Channel Islands NP,Lake Clark NP & PRES,0.6882,0.0947,0.9644,0.3871,0.1697,0.4169,0.6292,0.4916,0.9696,0.9143,0.1474,0.2405,0.8994
Channel Islands NP,Lassen Volcanic NP,0.7995,0.7667,0.9950,0.7979,0.7094,0.9076,0.8486,0.4216,0.9453,0.9318,0.5561,0.7587,0.9825
Channel Islands NP,Mammoth Cave NP,0.4743,0.9197,0.9992,0.8909,0.7847,0.9296,0.9086,0.6453,0.9905,0.9862,0.7063,0.9024,0.9958
Channel Islands NP,Mesa Verde NP,0.6187,0.6861,0.9947,0.8235,0.7020,0.8080,0.7733,0.5784,0.9791,0.9484,0.5995,0.7497,0.9821
Channel Islands NP,Mount Rainier NP,0.5276,0.8591,0.9505,0.7702,0.6294,0.8363,0.8895,0.5438,0.8564,0.8919,0.9317,0.7568,0.8841
Channel Islands NP,National Park of American Samoa,0.5103,0.6008,0.9972,0.8798,0.5800,0.8175,0.9370,0.8804,0.9948,0.9928,0.2916,0.6536,0.9911
Channel Islands NP,North Cascades NP,0.4854,0.6983,0.9867,0.6996,0.5996,0.7853,0.8766,0.9287,0.9852,0.9748,0.6535,0.7069,0.9593
Channel Islands NP,Olympic NP,0.7462,0.8131,0.8051,0.6010,0.6723,0.8386,0.8278,0.7403,0.7507,0.7080,0.6554,0.6416,0.6456
Channel Islands NP,Petrified Forest NP,0.6875,0.7170,0.9974,0.9085,0.8269,0.8536,0.9140,0.8478,0.9953,0.9912,0.6307,0.7717,0.9928
Channel Islands NP,Pinnacles NP,0.5833,0.9042,0.9996,0.9213,0.8862,0.9378,0.9625,0.9206,0.9970,0.9988,0.7410,0.8691,0.9964
Channel Islands NP,Redwood NP,0.5052,0.8274,0.9911,0.7727,0.7420,0.8409,0.8865,0.8140,0.9912,0.9742,0.6882,0.7616,0.9725
Channel Islands NP,Rocky Mountain NP,0.5893,0.8662,0.8941,0.7414,0.7582,0.8158,0.8448,0.6005,0.8572,0.6901,0.7764,0.7154,0.7902
Channel Islands NP,Saguaro NP,0.4419,0.6642,0.9780,0.8312,0.7190,0.8009,0.8873,0.7694,0.9922,0.9825,0.6016,0.6813,0.9813
Channel Islands NP,Sequoia NP,0.6149,0.8382,0.8279,0.6027,0.8459,0.7749,0.6809,0.5001,0.3564,0.3720,0.7091,0.7340,0.6717
Channel Islands NP,Shenandoah NP,0.7100,0.7371,0.8675,0.5669,0.7161,0.8924,0.7587,0.6536,0.8667,0.7713,0.6851,0.7795,0.7602
Channel Islands NP,Theodore Roosevelt NP,0.6063,0.7654,0.9985,0.8746,0.8097,0.9254,0.8756,0.7195,0.9902,0.9763,0.7482,0.8479,0.9938
Channel Islands NP,Virgin Islands NP,0.8391,0.5606,0.7000,0.6883,0.8290,0.8536,0.9354,0.8987,0.9951,0.9932,0.5952,0.6636,0.9793
Channel Islands NP,Voyageurs NP,0.8183,0.7395,0.9987,0.8785,0.6929,0.8985,0.8665,0.9311,0.9852,0.9970,0.8557,0.7993,0.9945
Channel Islands NP,Wind Cave NP,0.6240,0.8895,0.9991,0.9211,0.8784,0.9063,0.9263,0.8531,0.9947,0.9924,0.7399,0.8325,0.9955
Channel Islands NP,Wrangell-St. Elias NP & PRES,0.6396,0.1012,0.7524,0.1638,0.1052,0.1976,0.2703,0.1840,0.7846,0.5632,0.1005,0.1327,0.5465
Channel Islands NP,Yellowstone NP,0.6882,0.7576,0.6215,0.4563,0.5679,0.7733,0.6348,0.5890,0.6568,0.4642,0.7094,0.5639,0.4643
Channel Islands NP,Yosemite NP,0.7638,0.8147,0.6804,0.6429,0.7003,0.9236,0.7663,0.8479,0.6983,0.1357,0.5973,0.8297,0.3710
Channel Islands NP,Zion NP,0.6667,0.7914,0.9539,0.8468,0.7852,0.8166,0.8638,0.5310,0.9283,0.7238,0.6038,0.7752,0.8908
Congaree NP,Acadia NP,0.6999,0.6377,0.9362,0.4907,0.3989,0.8450,0.7404,0.3211,0.7671,0.5913,0.9444,0.4976,0.8424
Congaree NP,Arches NP,0.4899,0.9248,0.9932,0.8552,0.8431,0.9700,0.9434,0.5404,0.9936,0.9393,0.8823,0.8548,0.9857
Congaree NP,Badlands NP,0.6708,0.7327,0.9987,0.9517,0.8670,0.8914,0.9424,0.5623,0.9903,0.9867,0.8745,0.8910,0.9962
Congaree NP,Big Bend NP,0.6228,0.6914,0.9135,0.6567,0.7637,0.7867,0.7669,0.6604,0.9794,0.9379,0.7269,0.8277,0.3489
Congaree NP,Biscayne NP,0.5855,0.7146,0.9977,0.9688,0.8616,0.9669,0.9841,0.9117,0.9992,0.9972,0.8839,0.9092,0.9969
Congaree NP,Black Canyon of the Gunnison NP,0.4472,0.6433,0.9982,0.9075,0.7526,0.9786,0.9546,0.7114,0.9932,0.9919,0.8513,0.8345,0.9944
Congaree NP,Bryce Canyon NP,0.5449,0.7633,0.9930,0.9555,0.8709,0.7564,0.9017,0.4262,0.9754,0.7972,0.8726,0.8515,0.9795
Congaree NP,Canyonlands NP,0.5217,0.7092,0.9496,0.7260,0.5882,0.5837,0.7233,0.6716,0.9508,0.9060,0.5459,0.6206,0.8613
Congaree NP,Capitol Reef NP,0.6694,0.8819,0.9938,0.9156,0.8667,0.8954,0.9468,0.6270,0.9906,0.9425,0.9129,0.9218,0.9821
Congaree NP,Carlsbad Caverns NP,0.6532,0.7683,0.9996,0.9565,0.9109,0.9569,0.9876,0.8956,0.9997,0.9990,0.9095,0.9744,0.9992
Congaree NP,Channel Islands NP,0.8391,0.9080,0.9985,0.9290,0.8879,0.8999,0.9615,0.9196,0.9961,0.9964,0.7078,0.7955,0.9942
Congaree NP,Congaree NP,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Congaree NP,Crater Lake NP,0.7537,0.7338,0.9916,0.7735,0.6271,0.7920,0.9007,0.6623,0.9769,0.9393,0.8003,0.6958,0.9741
Congaree NP,Cuyahoga Valley NP,0.5013,0.6995,0.9927,0.9500,0.7466,0.5970,0.9126,0.4955,0.9835,0.9559,0.8961,0.6941,0.9793
Congaree NP,Death Valley NP,0.6901,0.6440,0.6122,0.6284,0.8040,0.6220,0.5454,0.4086,0.9092,0.7656,0.8333,0.8917,0.5201
Congaree NP,Denali NP & PRES,0.5333,0.1497,0.8611,0.2413,0.1671,0.5057,0.5215,0.2876,0.8801,0.7178,0.1623,0.1918,0.6939
Congaree NP,Dry Tortugas NP,0.6708,0.6588,0.9996,0.9778,0.8860,0.9519,0.9915,0.9545,0.9996,0.9988,0.8592,0.9410,0.9982
Congaree NP,Everglades NP,0.8667,0.6253,0.6906,0.6057,0.7647,0.6554,0.7836,0.5798,0.9789,0.9340,0.6578,0.5919,0.9673
Congaree NP,Gates of the Arctic NP & PRES,0.3904,0.0268,0.6061,0.0930,0.0430,0.1099,0.1802,0.1353,0.6526,0.4157,0.0426,0.0679,0.3964
Congaree NP,Gateway Arch NP,0.5164,0.7625,0.9974,0.8985,0.7725,0.6345,0.9196,0.2367,0.9885,0.9853,0.8314,0.7016,0.9869
Congaree NP,Glacier Bay NP & PRES,0.6197,0.0841,0.9580,0.3702,0.1852,0.4709,0.6913,0.4315,0.9620,0.8954,0.1660,0.2702,0.8843
Congaree NP,Glacier NP,0.6197,0.6758,0.7828,0.3618,0.5021,0.6443,0.7217,0.4607,0.7591,0.5434,0.6421,0.4169,0.6079
Congaree NP,Grand Canyon NP,0.7701,0.7064,0.9473,0.8577,0.7749,0.5460,0.8080,0.5635,0.8005,0.8081,0.6184,0.3862,0.8404
Congaree NP,Grand Teton NP,0.5505,0.6937,0.8232,0.4181,0.4986,0.4092,0.6960,0.3744,0.7804,0.6869,0.6600,0.3927,0.6564
Congaree NP,Great Basin NP,0.5774,0.6262,0.9970,0.9202,0.6736,0.5880,0.9078,0.5694,0.9870,0.9701,0.7134,0.9261,0.9911
Congaree NP,Great Sand Dunes NP & PRES,0.6852,0.6835,0.9990,0.5547,0.6840,0.9825,0.9336,0.7176,0.9960,0.9937,0.7403,0.8253,0.9965
Congaree NP,Great Smoky Mountains NP,0.6901,0.9170,0.7893,0.8685,0.8901,0.6512,0.7903,0.4211,0.7083,0.4753,0.9039,0.5408,0.7068
Congaree NP,Guadalupe Mountains NP,0.6025,0.9085,0.9964,0.9371,0.8870,0.9550,0.9722,0.9320,0.9986,0.9948,0.8672,0.9459,0.9855
Congaree NP,Haleakala NP,0.5270,0.7123,0.9919,0.9674,0.8172,0.9012,0.9848,0.8272,0.9989,0.9956,0.9085,0.7990,0.9902
Congaree NP,Hawaii Volcanoes NP,0.7348,0.6514,0.9707,0.9342,0.8527,0.8851,0.6711,0.2154,0.9364,0.8777,0.9308,0.6533,0.9839
Congaree NP,Hot Springs NP,0.5164,0.5895,0.9878,0.9402,0.7042,0.9096,0.9712,0.7055,0.9911,0.9786,0.9059,0.7836,0.9753
Congaree NP,Indiana Dunes NP,0.6606,0.6743,0.9983,0.9207,0.8032,0.8457,0.9374,0.4297,0.9589,0.9809,0.8550,0.9292,0.9909
Congaree NP,Isle Royale NP,0.7877,0.4085,0.9905,0.6774,0.4666,0.7286,0.7053,0.8496,0.9809,0.9780,0.4892,0.5982,0.9713
Congaree NP,Joshua Tree NP,0.6211,0.7557,0.7476,0.7560,0.7523,0.8555,0.7023,0.4555,0.9414,0.8201,0.5926,0.9305,0.6881
Congaree NP,Katmai NP & PRES,0.4880,0.0737,0.9470,0.3315,0.1453,0.3850,0.5489,0.3724,0.9565,0.8675,0.1421,0.2416,0.8576
Congaree NP,Kenai Fjords NP,0.6455,0.1840,0.9976,0.8593,0.5069,0.9038,0.9564,0.7608,0.9976,0.9922,0.5211,0.7494,0.9923
Congaree NP,Kings Canyon NP,0.6351,0.7630,0.9212,0.4958,0.8143,0.8356,0.6669,0.2557,0.8357,0.8060,0.7108,0.6122,0.8145
Congaree NP,Kobuk Valley NP,0.7785,0.5543,0.9997,0.9797,0.8681,0.9608,0.9943,0.9832,0.9998,0.9992,0.9090,0.9350,0.9985
Congaree NP,Lake Clark NP & PRES,0.6516,0.0480,0.9649,0.3939,0.1534,0.4520,0.6368,0.4941,0.9714,0.9152,0.1453,0.2770,0.9010
Congaree NP,Lassen Volcanic NP,0.7156,0.8281,0.9914,0.7621,0.7403,0.8790,0.8635,0.4539,0.9438,0.9235,0.7255,0.7421,0.9738
Congaree NP,Mammoth Cave NP,0.4899,0.7648,0.9959,0.8890,0.8743,0.9421,0.9091,0.6035,0.9896,0.9779,0.7567,0.8423,0.9867
Congaree NP,Mesa Verde NP,0.6390,0.4307,0.9892,0.7573,0.6697,0.7580,0.8034,0.5525,0.9772,0.9356,0.6344,0.5939,0.9685
Congaree NP,Mount Rainier NP,0.5449,0.8101,0.9358,0.5835,0.5742,0.6623,0.8127,0.4627,0.8343,0.8642,0.5514,0.5452,0.8478
Congaree NP,National Park of American Samoa,0.4216,0.7830,0.9997,0.9821,0.7487,0.9713,0.9932,0.9791,0.9997,0.9990,0.4439,0.9515,0.9988
Congaree NP,North Cascades NP,0.5729,0.4932,0.9769,0.5523,0.4522,0.6083,0.7728,0.8072,0.9681,0.9537,0.4891,0.5173,0.9333
Congaree NP,Olympic NP,0.7156,0.8581,0.7814,0.5201,0.7006,0.7139,0.7608,0.6673,0.7154,0.6700,0.7046,0.5005,0.6017
Congaree NP,Petrified Forest NP,0.7746,0.7933,0.9994,0.9777,0.8323,0.9269,0.9755,0.8288,0.9988,0.9969,0.9055,0.9288,0.9994
Congaree NP,Pinnacles NP,0.6025,0.7870,0.9975,0.9214,0.8346,0.9171,0.9570,0.8902,0.9980,0.9931,0.7926,0.8378,0.9929
Congaree NP,Redwood NP,0.5963,0.6234,0.9831,0.6551,0.5966,0.6876,0.8254,0.6789,0.9856,0.9541,0.5890,0.5733,0.9546
Congaree NP,Rocky Mountain NP,0.6086,0.8780,0.8749,0.7056,0.7469,0.6796,0.8226,0.4912,0.8392,0.6628,0.8876,0.5260,0.7577
Congaree NP,Saguaro NP,0.4564,0.7497,0.9779,0.9317,0.8212,0.8441,0.9206,0.7966,0.9947,0.9829,0.8710,0.7644,0.9841
Congaree NP,Sequoia NP,0.6351,0.7036,0.7978,0.4470,0.7281,0.5162,0.5597,0.4059,0.2979,0.3356,0.6565,0.4162,0.6152
Congaree NP,Shenandoah NP,0.7333,0.7517,0.8467,0.4281,0.6973,0.7798,0.6871,0.5917,0.8513,0.7351,0.7824,0.6566,0.7179
Congaree NP,Theodore Roosevelt NP,0.7515,0.7733,0.9956,0.8576,0.8357,0.9766,0.9275,0.6603,0.9910,0.9705,0.9463,0.8198,0.9869
Congaree NP,Virgin Islands NP,0.8000,0.5703,0.7072,0.7018,0.9177,0.9864,0.9905,0.9796,0.9998,0.9991,0.9234,0.6629,0.9905
Congaree NP,Voyageurs NP,0.7888,0.4948,0.9962,0.8317,0.5474,0.7162,0.7582,0.8388,0.9693,0.9912,0.5830,0.7269,0.9879
Congaree NP,Wind Cave NP,0.6445,0.8287,0.9995,0.9815,0.9305,0.9678,0.9763,0.8078,0.9974,0.9937,0.9242,0.9452,0.9989
Congaree NP,Wrangell-St. Elias NP & PRES,0.6606,0.0509,0.7486,0.1406,0.0731,0.1699,0.2529,0.1519,0.7828,0.5551,0.0730,0.1059,0.5390
Congaree NP,Yellowstone NP,0.6516,0.6293,0.5803,0.2795,0.4629,0.5419,0.5189,0.4005,0.6170,0.4054,0.6497,0.2953,0.3908
Congaree NP,Yosemite NP,0.6761,0.8738,0.6568,0.6628,0.8516,0.8306,0.7086,0.8133,0.6677,0.0956,0.6772,0.7799,0.3116
Congaree NP,Zion NP,0.6885,0.8797,0.9481,0.9652,0.8943,0.7776,0.8883,0.4285,0.9225,0.7131,0.7542,0.9661,0.8922
Crater Lake NP,Acadia NP,0.8696,0.9776,0.9733,0.9233,0.9510,0.9291,0.8339,0.6018,0.8432,0.7708,0.8716,0.9620,0.9367
Crater Lake NP,Arches NP,0.5934,0.6403,0.9903,0.6582,0.4269,0.7626,0.8955,0.8274,0.9871,0.9803,0.5975,0.6132,0.9704
Crater Lake NP,Badlands NP,0.6019,0.9294,0.9957,0.8942,0.8265,0.8470,0.9488,0.8439,0.9952,0.9798,0.9174,0.8862,0.9863
Crater Lake NP,Big Bend NP,0.6916,0.3957,0.9202,0.5836,0.5807,0.8721,0.8625,0.7266,0.9750,0.9370,0.7336,0.6886,0.3510
Crater Lake NP,Biscayne NP,0.4729,0.5391,0.9909,0.7645,0.5493,0.8255,0.9308,0.8289,0.9823,0.9548,0.8272,0.7384,0.9734
Crater Lake NP,Black Canyon of the Gunnison NP,0.3612,0.9299,0.9961,0.9210,0.8282,0.8102,0.9072,0.6175,0.9802,0.9571,0.9088,0.8802,0.9880
Crater Lake NP,Bryce Canyon NP,0.6287,0.8363,0.9976,0.8482,0.5394,0.6931,0.9040,0.7242,0.9959,0.9248,0.6570,0.8906,0.9835
Crater Lake NP,Canyonlands NP,0.6019,0.5300,0.9569,0.6760,0.4793,0.6002,0.6920,0.6334,0.9488,0.9084,0.4257,0.5828,0.8822
Crater Lake NP,Capitol Reef NP,0.6389,0.7308,0.9935,0.7718,0.4537,0.7396,0.9297,0.6867,0.9872,0.9629,0.6569,0.7828,0.9776
Crater Lake NP,Carlsbad Caverns NP,0.5275,0.3812,0.9891,0.6563,0.3756,0.7159,0.8905,0.7537,0.9785,0.9416,0.6107,0.5490,0.9684
Crater Lake NP,Channel Islands NP,0.7819,0.8857,0.9969,0.8689,0.7356,0.9062,0.9253,0.8317,0.9823,0.9523,0.7596,0.8320,0.9901
Crater Lake NP,Congaree NP,0.7537,0.7338,0.9916,0.7735,0.6271,0.7920,0.9007,0.6623,0.9769,0.9393,0.8003,0.6958,0.9741
Crater Lake NP,Crater Lake NP,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Crater Lake NP,Cuyahoga Valley NP,0.6940,0.3728,0.9848,0.6930,0.3222,0.5321,0.8963,0.7597,0.9927,0.9785,0.6359,0.5163,0.9436
Crater Lake NP,Death Valley NP,0.6687,0.5201,0.6350,0.6763,0.9105,0.9378,0.8037,0.8200,0.9510,0.8780,0.9174,0.6843,0.5617
Crater Lake NP,Denali NP & PRES,0.7537,0.3114,0.8737,0.3732,0.3379,0.5032,0.5404,0.4497,0.8961,0.7412,0.3054,0.3419,0.7238
Crater Lake NP,Dry Tortugas NP,0.7223,0.3710,0.9891,0.6928,0.4115,0.6790,0.8690,0.5693,0.9745,0.9303,0.6051,0.5376,0.9669
Crater Lake NP,Everglades NP,0.7537,0.3619,0.7146,0.8535,0.8392,0.9626,0.9586,0.8648,0.9870,0.9470,0.9679,0.9069,0.9945
Crater Lake NP,Gates of the Arctic NP & PRES,0.3152,0.0529,0.6052,0.0995,0.0621,0.1096,0.1734,0.1064,0.6405,0.3954,0.0611,0.0762,0.3948
Crater Lake NP,Gateway Arch NP,0.3128,0.3636,0.9866,0.6023,0.2842,0.5189,0.8817,0.6439,0.9905,0.9661,0.5671,0.4485,0.9460
Crater Lake NP,Glacier Bay NP & PRES,0.8341,0.1277,0.9522,0.3307,0.1742,0.4310,0.6766,0.5185,0.9577,0.8387,0.1797,0.2307,0.8688
Crater Lake NP,Glacier NP,0.8341,0.9320,0.8501,0.8223,0.9341,0.9365,0.8279,0.7492,0.8426,0.7369,0.8856,0.8821,0.7510
Crater Lake NP,Grand Canyon NP,0.7654,0.4357,0.9567,0.6968,0.4468,0.5383,0.8083,0.7598,0.8686,0.9152,0.4958,0.3912,0.8462
Crater Lake NP,Grand Teton NP,0.8002,0.9893,0.8883,0.8870,0.9737,0.8425,0.9319,0.9276,0.8772,0.8730,0.9626,0.9200,0.7990
Crater Lake NP,Great Basin NP,0.6528,0.9555,0.9978,0.8955,0.9353,0.7393,0.8788,0.4898,0.9761,0.9512,0.7184,0.7300,0.9934
Crater Lake NP,Great Sand Dunes NP & PRES,0.8087,0.9534,0.9956,0.7605,0.5416,0.7903,0.8711,0.5639,0.9860,0.9643,0.6291,0.8628,0.9879
Crater Lake NP,Great Smoky Mountains NP,0.6130,0.7540,0.8349,0.8677,0.6878,0.7503,0.9003,0.7929,0.8108,0.7069,0.7191,0.6379,0.7565
Crater Lake NP,Guadalupe Mountains NP,0.4865,0.7036,0.9929,0.7116,0.6866,0.8527,0.9261,0.7436,0.9794,0.9465,0.7533,0.7800,0.9752
Crater Lake NP,Haleakala NP,0.5108,0.3438,0.9823,0.6815,0.3668,0.7090,0.9032,0.7615,0.9832,0.9575,0.6340,0.5238,0.9528
Crater Lake NP,Hawaii Volcanoes NP,0.5934,0.3399,0.9638,0.6821,0.4157,0.7917,0.5446,0.6739,0.8565,0.9612,0.7131,0.5349,0.9572
Crater Lake NP,Hot Springs NP,0.4170,0.3047,0.9802,0.6784,0.3561,0.7350,0.9060,0.8144,0.9909,0.9695,0.6301,0.5449,0.9525
Crater Lake NP,Indiana Dunes NP,0.9336,0.4599,0.9927,0.6906,0.4857,0.7383,0.9254,0.7390,0.9856,0.8850,0.7165,0.8114,0.9649
