NPS Public Use Statistics Query Builder,,,,,,,,
Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Query%20Builder%20for%20Public%20Use%20Statistics%20(1979%20-%20Last%20Calendar%20Year),,,,,,,,
,,,,,,,,
Park,Year,Month,Recreation Visits,Recreation Hours,Tent Campers,,RV Campers,Backcountry Campers
Acadia NP,2008,1,"10,744","70,910",0,,0,0
Acadia NP,2008,2,"11,131","73,463",0,,0,0
Acadia NP,2008,3,"17,489","115,426",0,,0,0
Acadia NP,2008,4,"53,798","312,027",0,,0,0
Acadia NP,2008,5,"125,679","720,213","5,328",,927,53
Acadia NP,2008,6,"263,542","1,506,391","13,242",,"3,138",171
Acadia NP,2008,7,"470,295","2,304,254","30,990",,"4,668",389
Acadia NP,2008,8,"514,443","2,503,350","34,911",,"6,051",369
Acadia NP,2008,9,"319,582","1,469,491","11,214",,"4,680",125
Acadia NP,2008,10,"246,533","1,304,145","5,343",,"1,734",122
Acadia NP,2008,11,"32,759","196,553",0,,0,0
Acadia NP,2008,12,"9,862","59,172",0,,0,0
Acadia NP,2009,1,"9,366","61,813",0,,0,0
Acadia NP,2009,2,"9,751","64,358",0,,0,0
Acadia NP,2009,3,"19,258","127,103",0,,0,0
Acadia NP,2009,4,"59,277","343,809",0,,0,0
Acadia NP,2009,5,"129,885","746,909","5,958",,"1,104",52
Acadia NP,2009,6,"244,780","1,392,499","12,210",,"3,111",128
Acadia NP,2009,7,"457,622","2,247,462","28,551",,"5,376",346
Acadia NP,2009,8,"586,446","2,895,445","36,180",,"5,664",299
Acadia NP,2009,9,"399,789","1,851,687","17,079",,"5,637",212
Acadia NP,2009,10,"258,007","1,395,369","5,064",,"1,863",0
Acadia NP,2009,11,"44,042","264,255",0,,0,0
Acadia NP,2009,12,"9,475","56,851",0,,0,0
Acadia NP,2010,1,"10,510","69,363",0,,0,0
Acadia NP,2010,2,"13,398","88,427",0,,0,0
Acadia NP,2010,3,"26,080","172,125",0,,0,0
Acadia NP,2010,4,"57,992","336,355",537,,162,0
Acadia NP,2010,5,"169,898","976,316","7,743",,"2,064",72
Acadia NP,2010,6,"286,635","1,641,129","15,909",,"3,357",153
Acadia NP,2010,7,"545,382","2,666,213","35,916",,"7,500",335
Acadia NP,2010,8,"627,918","3,071,414","37,995",,"7,248",313
Acadia NP,2010,9,"431,001","1,985,058","17,229",,"6,108",0
Acadia NP,2010,10,"289,114","1,543,440","5,958",,"2,382",101
Acadia NP,2010,11,"36,736","220,414",0,,0,0
Acadia NP,2010,12,"9,544","57,262",0,,0,0
Acadia NP,2011,1,"10,428","68,825",0,,0,0
Acadia NP,2011,2,"9,533","62,916",0,,0,0
Acadia NP,2011,3,"19,510","128,763",0,,0,0
Acadia NP,2011,4,"58,307","338,182",411,,63,0
Acadia NP,2011,5,"132,720","755,930","6,489",,"1,572",90
Acadia NP,2011,6,"297,222","1,690,818","15,534",,"4,134",166
Acadia NP,2011,7,"559,892","2,749,851","36,453",,"7,119",389
Acadia NP,2011,8,"583,153","2,826,553","34,884",,"6,195",240
Acadia NP,2011,9,"387,868","1,807,572","17,832",,"6,075",167
Acadia NP,2011,10,"270,477","1,398,762","6,276",,"2,361",105
Acadia NP,2011,11,"34,192","205,155",0,,0,0
Acadia NP,2011,12,"11,343","68,057",0,,0,0
Acadia NP,2012,1,"11,930","78,738",0,,0,0
Acadia NP,2012,2,"12,388","81,758",0,,0,0
Acadia NP,2012,3,"22,684","149,716",0,,0,0
Acadia NP,2012,4,"59,471","344,929","1,338",,174,0
Acadia NP,2012,5,"157,406","894,751","7,800",,"1,467",29
Acadia NP,2012,6,"309,198","1,754,612","17,220",,"3,888",205
Acadia NP,2012,7,"539,234","2,661,851","36,156",,"6,540",300
Acadia NP,2012,8,"574,307","2,832,259","37,554",,"7,200",392
Acadia NP,2012,9,"391,810","1,857,938","17,832",,"6,291",334
Acadia NP,2012,10,"302,932","1,504,128","6,387",,"1,134",56
Acadia NP,2012,11,"38,385","230,308",195,,66,0
Acadia NP,2012,12,"11,307","67,843",0,,0,0
Acadia NP,2013,1,"11,249","74,245",0,,0,0
Acadia NP,2013,2,"9,869","65,134",0,,0,0
Acadia NP,2013,3,"20,631","136,166",0,,0,0
Acadia NP,2013,4,"47,090","273,124","1,203",,0,0
Acadia NP,2013,5,"133,653","751,112","5,985",,"1,230",45
Acadia NP,2013,6,"315,791","1,777,331","17,415",,"4,482",226
Acadia NP,2013,7,"555,308","2,720,142","34,113",,"7,569",368
Acadia NP,2013,8,"617,306","3,019,366","37,020",,"7,980",343
Acadia NP,2013,9,"400,400","1,848,348","17,322",,"7,107",184
Acadia NP,2013,10,"94,904","390,033","1,212",,528,0
Acadia NP,2013,11,"41,181","247,088",423,,129,0
Acadia NP,2013,12,"7,540","45,242",60,,0,0
Acadia NP,2014,1,"10,459","69,028",0,,0,0
Acadia NP,2014,2,"10,258","67,700",0,,0,0
Acadia NP,2014,3,"17,502","115,511",0,,0,0
Acadia NP,2014,4,"57,211","331,824",0,,0,0
Acadia NP,2014,5,"153,013","855,861","8,133",,"1,671",46
Acadia NP,2014,6,"338,845","1,910,698","19,848",,"4,761",285
Acadia NP,2014,7,"561,073","2,755,060","35,091",,"8,349",341
Acadia NP,2014,8,"638,152","3,122,768","36,438",,"8,394",285
Acadia NP,2014,9,"418,173","1,927,870","19,992",,"7,620",223
Acadia NP,2014,10,"313,920","1,661,862","6,972",,"2,574",50
Acadia NP,2014,11,"31,013","186,077",0,,0,0
Acadia NP,2014,12,"13,510","81,058",0,,0,0
Acadia NP,2015,1,"12,578","83,017",0,,0,0
Acadia NP,2015,2,"10,626","70,132",0,,0,0
Acadia NP,2015,3,"18,062","119,207",0,,0,0
Acadia NP,2015,4,"63,214","366,642",0,,0,0
Acadia NP,2015,5,"187,205","1,062,976","10,248",,"1,737",44
Acadia NP,2015,6,"359,661","2,031,345","20,187",,"4,776",222
Acadia NP,2015,7,"606,597","2,975,978","36,642",,"7,992",310
Acadia NP,2015,8,"666,767","3,266,176","36,042",,"7,902",332
Acadia NP,2015,9,"479,320","2,232,571","23,814",,"7,206",241
Acadia NP,2015,10,"344,362","1,867,356","8,067",,"2,481",84
Acadia NP,2015,11,"48,912","293,469",0,,0,0
Acadia NP,2015,12,"13,880","83,282",0,,0,0
Acadia NP,2016,1,"17,204","113,549",0,,0,0
Acadia NP,2016,2,"16,530","109,098",0,,0,0
Acadia NP,2016,3,"28,121","185,597",0,,0,0
Acadia NP,2016,4,"94,199","575,374",885,,168,0
Acadia NP,2016,5,"217,147","1,587,762","10,521",,"1,854",38
Acadia NP,2016,6,"445,410","3,496,610","25,488",,"7,938",303
Acadia NP,2016,7,"696,854","4,880,430","39,942",,"11,757",353
Acadia NP,2016,8,"735,945","5,075,152","40,557",,"11,649",381
Acadia NP,2016,9,"570,434","3,596,598","23,148",,"10,044",249
Acadia NP,2016,10,"412,416","2,663,628","12,270",,"3,219",0
Acadia NP,2016,11,"55,022","330,133",0,,0,0
Acadia NP,2016,12,"14,111","84,665",0,,0,0
Acadia NP,2017,1,"15,520","102,429",0,,0,0
Acadia NP,2017,2,"14,342","94,657",0,,0,0
Acadia NP,2017,3,"20,936","138,175",0,,0,0
Acadia NP,2017,4,"85,267","516,088",594,,195,0
Acadia NP,2017,5,"222,978","1,680,423","10,827",,"3,213",298
Acadia NP,2017,6,"476,191","3,657,913","24,372",,"9,360",298
Acadia NP,2017,7,"743,529","5,107,426","39,429",,"12,642",325
Acadia NP,2017,8,"762,436","5,209,104","39,864",,"11,874",336
Acadia NP,2017,9,"595,388","3,916,584","27,054",,"13,554",253
Acadia NP,2017,10,"507,594","3,201,030","10,446",,"4,974",87
Acadia NP,2017,11,"53,006","318,037",0,,0,0
Acadia NP,2017,12,"12,084","72,504",0,,0,0
Acadia NP,2018,1,"11,974","79,026",0,,0,0
Acadia NP,2018,2,"12,167","80,301",0,,0,0
Acadia NP,2018,3,"23,756","156,790",0,,0,0
Acadia NP,2018,4,"72,858","421,428",0,,0,0
Acadia NP,2018,5,"249,050","1,854,392","11,325",,"3,912",126
Acadia NP,2018,6,"499,163","3,861,197","25,626",,"10,479",323
Acadia NP,2018,7,"759,165","5,119,628","37,218",,"12,723",345
Acadia NP,2018,8,"767,219","5,175,840","37,923",,"12,579",345
Acadia NP,2018,9,"600,397","3,885,466","25,128",,"14,097",271
Acadia NP,2018,10,"488,204","2,657,950","7,524",,"4,425",62
Acadia NP,2018,11,"40,930","245,582",0,,0,0
Acadia NP,2018,12,"12,692","76,154",0,,0,0
Arches NP,2008,1,"9,095","29,866",70,,36,2
Arches NP,2008,2,"13,435","49,910",250,,142,9
Arches NP,2008,3,"66,408","332,267","3,578",,"1,396",31
Arches NP,2008,4,"83,695","420,415","3,945",,"2,055",45
Arches NP,2008,5,"133,195","575,060","4,328",,"1,868",106
Arches NP,2008,6,"124,451","507,697","3,337",,"1,229",68
Arches NP,2008,7,"121,038","487,615","2,965",,"1,485",14
Arches NP,2008,8,"129,843","523,825","3,159",,"1,804",43
Arches NP,2008,9,"124,268","535,601","3,866",,"1,820",10
Arches NP,2008,10,"80,194","364,393","2,484",,"2,009",33
Arches NP,2008,11,"29,604","131,954","1,118",,643,3
Arches NP,2008,12,"13,569","48,249",199,,108,2
Arches NP,2009,1,"11,684","41,206",180,,74,2
Arches NP,2009,2,"15,488","57,006",274,,154,12
Arches NP,2009,3,"66,898","328,659","3,378",,"1,393",101
Arches NP,2009,4,"91,114","432,816","3,559",,"2,203",152
Arches NP,2009,5,"139,332","598,604","4,115",,"2,147",173
Arches NP,2009,6,"140,161","600,166","4,571",,"1,731",116
Arches NP,2009,7,"133,854","560,551","3,839",,"1,825",48
Arches NP,2009,8,"133,880","541,774","3,402",,"1,828",60
Arches NP,2009,9,"131,913","544,614","3,132",,"2,276",46
Arches NP,2009,10,"86,601","388,058","2,594",,"1,906",75
Arches NP,2009,11,"31,714","151,982","1,366",,797,23
Arches NP,2009,12,"13,673","46,031",132,,77,0
Arches NP,2010,1,"8,713","29,215",96,,31,1
Arches NP,2010,2,"11,746","41,774",163,,79,5
Arches NP,2010,3,"57,623","271,316","2,425",,"1,050",105
Arches NP,2010,4,"93,999","417,250","2,614",,"2,133",198
Arches NP,2010,5,"135,670","549,494","2,908",,"1,971",213
Arches NP,2010,6,"151,209","599,709","2,859",,"1,733",141
Arches NP,2010,7,"145,489","579,033","2,994",,"1,890",56
Arches NP,2010,8,"139,304","543,792","2,635",,"1,793",46
Arches NP,2010,9,"138,442","554,004","2,684",,"2,030",66
Arches NP,2010,10,"89,929","408,800","2,978",,"1,949",69
Arches NP,2010,11,"29,343","128,925",890,,706,14
Arches NP,2010,12,"12,938","50,608",370,,113,9
Arches NP,2011,1,"10,182","34,832",132,,46,1
Arches NP,2011,2,"12,932","48,521",221,,134,6
Arches NP,2011,3,"61,950","311,484","3,189",,"1,331",175
Arches NP,2011,4,"96,537","435,155","2,711",,"2,425",112
Arches NP,2011,5,"142,251","580,092","3,051",,"2,230",274
Arches NP,2011,6,"155,481","619,644","3,197",,"1,858",202
Arches NP,2011,7,"147,426","575,755","2,754",,"1,966",84
Arches NP,2011,8,"138,600","559,921","3,362",,"1,696",92
Arches NP,2011,9,"136,246","561,530","3,394",,"1,922",82
Arches NP,2011,10,"92,728","417,769","2,729",,"2,143",124
Arches NP,2011,11,"30,863","134,943","1,034",,650,28
Arches NP,2011,12,"15,562","64,541",490,,242,12
Arches NP,2012,1,"14,961","54,781",266,,96,28
Arches NP,2012,2,"17,870","59,926",146,,89,28
Arches NP,2012,3,"72,273","321,771","2,600",,"1,180",183
Arches NP,2012,4,"103,800","462,894","3,229",,"2,187",109
Arches NP,2012,5,"142,876","605,653","3,910",,"2,165",156
Arches NP,2012,6,"143,482","592,340","3,929",,"1,520",74
Arches NP,2012,7,"145,696","559,679","2,670",,"1,561",42
Arches NP,2012,8,"139,036","522,954","2,222",,"1,466",68
Arches NP,2012,9,"139,801","572,413","3,818",,"1,777",78
Arches NP,2012,10,"96,310","425,374","2,926",,"1,774",70
Arches NP,2012,11,"36,170","157,316","1,068",,814,15
Arches NP,2012,12,"18,302","62,855",218,,113,0
Arches NP,2013,1,"11,099","36,676",110,,26,4
Arches NP,2013,2,"16,426","51,869",82,,26,0
Arches NP,2013,3,"73,935","364,682","3,756",,"1,310",143
Arches NP,2013,4,"108,086","470,189","3,202",,"2,022",170
Arches NP,2013,5,"149,321","618,653","3,726",,"2,195",231
Arches NP,2013,6,"154,505","614,966","3,510",,"1,787",100
Arches NP,2013,7,"156,182","593,824","2,670",,"1,561",42
Arches NP,2013,8,"147,259","577,061","3,129",,"1,606",117
Arches NP,2013,9,"143,755","585,785","3,845",,"1,804",77
Arches NP,2013,10,"57,446","261,144","2,117",,"1,154",34
Arches NP,2013,11,"43,928","188,956","1,409",,842,33
Arches NP,2013,12,"20,924","68,753",149,,98,2
Arches NP,2014,1,"17,038","54,420",101,,36,1
Arches NP,2014,2,"22,559","87,490",473,,353,0
Arches NP,2014,3,"89,841","404,730","3,726",,"1,156",220
Arches NP,2014,4,"122,186","517,673","3,205",,"1,966",155
Arches NP,2014,5,"165,379","668,271","3,721",,"2,217",235
Arches NP,2014,6,"170,286","663,257","3,521",,"1,790",118
Arches NP,2014,7,"169,844","632,517","2,684",,"1,588",126
Arches NP,2014,8,"173,416","629,281","2,265",,"1,488",121
Arches NP,2014,9,"165,222","600,116","1,450",,"2,257",75
Arches NP,2014,10,"115,545","456,363","2,400",,"1,572",108
Arches NP,2014,11,"46,940","198,114","1,368",,859,41
Arches NP,2014,12,"26,511","93,622",338,,154,11
Arches NP,2015,1,"20,699","73,205",288,,137,14
Arches NP,2015,2,"34,255","136,062",842,,432,25
Arches NP,2015,3,"103,649","453,777","3,853",,"1,401",230
Arches NP,2015,4,"138,903","573,009","3,364",,"2,157",219
Arches NP,2015,5,"179,804","713,642","3,745",,"2,271",236
Arches NP,2015,6,"189,073","723,265","3,548",,"1,817",116
Arches NP,2015,7,"195,748","711,334","2,684",,"1,588",99
Arches NP,2015,8,"173,186","648,544","2,692",,"1,904",84
Arches NP,2015,9,"171,711","613,908","1,971",,"1,723",67
Arches NP,2015,10,"115,859","474,225","2,570",,"2,026",89
Arches NP,2015,11,"49,087","202,971","1,282",,838,19
Arches NP,2015,12,"27,273","96,228",319,,271,10
Arches NP,2016,1,"20,311","72,727",274,,197,21
Arches NP,2016,2,"33,200","132,404",850,,451,34
Arches NP,2016,3,"119,122","486,543","2,786",,"1,674",314
Arches NP,2016,4,"151,112","611,948","3,172",,"2,157",199
Arches NP,2016,5,"201,718","771,336","3,632",,"2,217",296
Arches NP,2016,6,"211,706","782,674","3,356",,"1,520",123
Arches NP,2016,7,"210,359","742,619","2,740",,"1,709",87
Arches NP,2016,8,"188,340","699,903","2,946",,"2,273",84
Arches NP,2016,9,"200,906","750,232","3,027",,"2,217",16
Arches NP,2016,10,"146,250","574,264","2,808",,"2,150",0
Arches NP,2016,11,"69,404","311,656","2,047",,"1,956",0
Arches NP,2016,12,"33,290","112,944",408,,137,0
Arches NP,2017,1,"21,549","75,475",338,,113,0
Arches NP,2017,2,"38,248","149,247",886,,552,0
Arches NP,2017,3,"128,508","385,669",0,,0,6
Arches NP,2017,4,"155,286","466,003",0,,0,6
Arches NP,2017,5,"188,726","566,777",0,,0,25
Arches NP,2017,6,"193,060","579,253",0,,0,3
Arches NP,2017,7,"192,767","578,374",0,,0,3
Arches NP,2017,8,"177,764","533,461",0,,0,7
Arches NP,2017,9,"187,603","563,025",0,,0,9
Arches NP,2017,10,"138,325","415,096",0,,0,5
Arches NP,2017,11,"72,867","218,600",0,,0,0
Arches NP,2017,12,"44,325","141,697",202,,161,1
Arches NP,2018,1,"31,810","107,123",230,,257,0
Arches NP,2018,2,"40,325","155,111",732,,602,6
Arches NP,2018,3,"134,951","438,754",559,,408,40
Arches NP,2018,4,"167,156","611,537","1,631",,"2,219",40
Arches NP,2018,5,"215,255","757,596","1,720",,"2,271",90
Arches NP,2018,6,"214,443","754,762","2,562",,"1,631",32
Arches NP,2018,7,"205,493","728,454","2,244",,"1,801",23
Arches NP,2018,8,"183,840","646,442","2,060",,"1,431",47
Arches NP,2018,9,"206,254","683,816","1,334",,"1,253",28
Arches NP,2018,10,"147,996","563,609","2,618",,"2,165",33
Arches NP,2018,11,"74,155","322,920","2,006",,"1,903",25
Arches NP,2018,12,"41,879","136,735",242,,216,4
Badlands NP,2008,1,"7,836","30,652",0,,8,0
Badlands NP,2008,2,"7,351","28,715",0,,4,0
Badlands NP,2008,3,"13,937","55,947",68,,30,34
Badlands NP,2008,4,"19,620","80,911",194,,68,8
Badlands NP,2008,5,"62,637","278,884","1,151",,494,83
Badlands NP,2008,6,"169,249","743,927","2,896",,"2,063",142
Badlands NP,2008,7,"216,713","937,101","3,652",,"1,516",166
Badlands NP,2008,8,"201,226","878,180","4,184",,"1,455",71
Badlands NP,2008,9,"94,323","428,196","2,003",,"1,683",77
Badlands NP,2008,10,"36,505","162,041",574,,597,23
Badlands NP,2008,11,"9,329","37,206",38,,27,4
Badlands NP,2008,12,"7,008","27,756",27,,4,5
Badlands NP,2009,1,"7,332","29,017",8,,27,1
Badlands NP,2009,2,"7,639","30,244",15,,11,1
Badlands NP,2009,3,"11,875","47,768",76,,34,11
Badlands NP,2009,4,"25,911","104,441",141,,118,7
Badlands NP,2009,5,"69,831","321,485","1,714",,"1,281",148
Badlands NP,2009,6,"189,139","843,725","4,552",,"2,227",293
Badlands NP,2009,7,"249,779","1,121,205","7,695",,"2,915",368
Badlands NP,2009,8,"215,299","1,001,217","8,504",,"3,093",318
Badlands NP,2009,9,"105,471","483,059","2,398",,"2,071",184
Badlands NP,2009,10,"32,610","139,657",217,,429,68
Badlands NP,2009,11,"12,886","51,127",49,,11,11
Badlands NP,2009,12,"6,146","24,393",19,,15,0
Badlands NP,2010,1,"6,696","26,206",0,,0,0
Badlands NP,2010,2,"6,722","26,263",0,,0,0
Badlands NP,2010,3,"7,752","32,182",15,,4,18
Badlands NP,2010,4,"23,423","95,849",49,,15,38
Badlands NP,2010,5,"71,909","323,543",361,,95,212
Badlands NP,2010,6,"192,904","845,093",388,,103,265
Badlands NP,2010,7,"238,189","1,028,914",749,,220,332
Badlands NP,2010,8,"230,914","991,589",859,,72,453
Badlands NP,2010,9,"130,822","599,192",798,,160,168
Badlands NP,2010,10,"46,929","197,054",289,,110,148
Badlands NP,2010,11,"13,368","53,198",30,,4,24
Badlands NP,2010,12,"8,150","32,334",4,,0,0
Badlands NP,2011,1,"6,646","26,124",0,,0,2
Badlands NP,2011,2,"6,818","26,592",0,,0,0
Badlands NP,2011,3,"16,375","64,583",8,,0,41
Badlands NP,2011,4,"20,652","85,847",49,,27,21
Badlands NP,2011,5,"58,637","280,969",361,,95,132
Badlands NP,2011,6,"169,056","786,281",946,,114,456
Badlands NP,2011,7,"217,178","968,974",369,,53,385
Badlands NP,2011,8,"188,638","857,812",338,,46,347
Badlands NP,2011,9,"116,187","537,670",456,,99,143
Badlands NP,2011,10,"40,910","179,934",110,,30,32
Badlands NP,2011,11,"17,133","67,168",8,,0,14
Badlands NP,2011,12,"12,511","48,854",0,,0,5
Badlands NP,2012,1,"9,660","37,811",0,,0,0
Badlands NP,2012,2,"10,908","42,956",0,,0,4
Badlands NP,2012,3,"22,784","93,044",57,,0,41
Badlands NP,2012,4,"31,658","135,797",110,,46,101
Badlands NP,2012,5,"72,568","333,576",57,,8,107
Badlands NP,2012,6,"162,676","746,504",369,,87,238
Badlands NP,2012,7,"209,064","918,067",638,,68,141
Badlands NP,2012,8,"189,830","857,649",536,,95,163
Badlands NP,2012,9,"103,606","490,687",312,,42,121
Badlands NP,2012,10,"40,449","179,175",80,,4,54
Badlands NP,2012,11,"17,791","70,686",0,,0,2
Badlands NP,2012,12,"12,412","49,220",23,,0,7
Badlands NP,2013,1,"11,882","46,338",0,,0,0
Badlands NP,2013,2,"11,033","43,347",27,,0,0
Badlands NP,2013,3,"18,258","73,771",68,,46,16
Badlands NP,2013,4,"20,750","85,544",65,,57,28
Badlands NP,2013,5,"65,043","312,441",825,,247,38
Badlands NP,2013,6,"177,507","820,320","1,938",,342,542
Badlands NP,2013,7,"225,096","1,052,424","2,937",,327,298
Badlands NP,2013,8,"208,579","981,458","1,596",,456,294
Badlands NP,2013,9,"104,029","538,303","1,482",,456,163
Badlands NP,2013,10,"25,530","103,821",213,,38,43
Badlands NP,2013,11,"16,663","68,718",148,,91,7
Badlands NP,2013,12,"8,002","31,571",19,,11,0
Badlands NP,2014,1,"9,548","37,464",11,,8,0
Badlands NP,2014,2,"8,671","34,046",19,,0,0
Badlands NP,2014,3,"15,898","63,489",38,,0,29
Badlands NP,2014,4,"25,054","105,775",95,,53,60
Badlands NP,2014,5,"63,131","310,648",779,,194,336
Badlands NP,2014,6,"168,011","806,743","1,596",,714,316
Badlands NP,2014,7,"210,370","999,145","1,972",,589,181
Badlands NP,2014,8,"208,807","984,416","1,805",,627,245
Badlands NP,2014,9,"96,882","483,321",950,,304,113
Badlands NP,2014,10,"36,929","181,513","1,235",,186,110
Badlands NP,2014,11,"13,973","57,519",122,,46,24
Badlands NP,2014,12,"10,820","42,488",0,,19,5
Badlands NP,2015,1,"10,414","40,887",0,,11,0
Badlands NP,2015,2,"10,942","43,042",11,,8,8
Badlands NP,2015,3,"21,924","88,122",0,,0,89
Badlands NP,2015,4,"27,193","118,886",30,,46,123
Badlands NP,2015,5,"68,239","347,321",338,,80,168
Badlands NP,2015,6,"191,593","908,207",790,,220,278
Badlands NP,2015,7,"245,400","1,132,380","1,417",,42,211
Badlands NP,2015,8,"231,866","1,075,568","1,288",,198,233
Badlands NP,2015,9,"117,724","491,275",483,,129,186
Badlands NP,2015,10,"34,498","167,493",190,,76,95
Badlands NP,2015,11,"16,771","67,774",80,,46,30
Badlands NP,2015,12,"12,790","50,259",0,,0,24
Badlands NP,2016,1,"10,826","42,247",0,,0,0
Badlands NP,2016,2,"10,921","43,159",30,,0,14
Badlands NP,2016,3,"20,501","85,533",350,,30,51
Badlands NP,2016,4,"22,812","103,966",255,,34,55
Badlands NP,2016,5,"78,863","401,073",840,,42,143
Badlands NP,2016,6,"196,209","921,935","1,706",,251,192
Badlands NP,2016,7,"249,194","1,148,854","1,607",,228,169
Badlands NP,2016,8,"217,071","1,020,238","1,550",,334,353
Badlands NP,2016,9,"129,350","662,208",939,,475,326
Badlands NP,2016,10,"33,380","165,433",475,,106,93
Badlands NP,2016,11,"17,970","72,885",182,,0,14
Badlands NP,2016,12,"9,166","35,928",0,,0,0
Badlands NP,2017,1,"10,380","40,784",6,,0,4
Badlands NP,2017,2,"11,149","43,636",5,,0,7
Badlands NP,2017,3,"21,498","86,669",25,,0,89
Badlands NP,2017,4,"23,166","108,203",73,,53,242
Badlands NP,2017,5,"85,967","449,170",704,,162,386
Badlands NP,2017,6,"213,966","1,018,084","1,749",,170,439
Badlands NP,2017,7,"263,506","1,213,503","1,039",,158,285
Badlands NP,2017,8,"237,125","1,088,328",767,,177,738
Badlands NP,2017,9,"127,598","590,943",380,,96,112
Badlands NP,2017,10,"33,426","162,861",155,,35,85
Badlands NP,2017,11,"16,807","67,778",23,,7,38
Badlands NP,2017,12,"9,737","38,266",4,,1,8
Badlands NP,2018,1,"10,610","41,537",2,,4,5
Badlands NP,2018,2,"9,456","37,045",4,,0,7
Badlands NP,2018,3,"16,616","66,902",29,,4,129
Badlands NP,2018,4,"21,343","90,605",42,,31,120
Badlands NP,2018,5,"84,527","375,688",358,,139,527
Badlands NP,2018,6,"208,645","884,408",516,,158,470
Badlands NP,2018,7,"263,863","1,110,090",818,,161,652
Badlands NP,2018,8,"217,350","920,577",603,,101,526
Badlands NP,2018,9,"116,826","514,649",411,,148,338
Badlands NP,2018,10,"33,527","148,961",133,,30,141
Badlands NP,2018,11,"16,442","64,329",4,,2,6
Badlands NP,2018,12,"9,737","38,034",0,,0,5
Big Bend NP,2008,1,"23,357","703,542","3,317",,"3,436","2,280"
Big Bend NP,2008,2,"31,187","827,384","1,707",,"6,500","1,450"
Big Bend NP,2008,3,"50,880","1,350,072","5,972",,"5,782","5,192"
Big Bend NP,2008,4,"54,293","1,048,333","5,176",,"3,681","1,294"
Big Bend NP,2008,5,"42,056","772,846","3,194",,695,"1,067"
Big Bend NP,2008,6,"20,538","416,710","1,715",,115,604
Big Bend NP,2008,7,"14,128","325,798","1,595",,79,531
Big Bend NP,2008,8,"14,082","308,981","1,289",,38,494
Big Bend NP,2008,9,"21,681","412,496","1,192",,185,255
Big Bend NP,2008,10,"27,794","694,410","3,050",,634,"1,188"
Big Bend NP,2008,11,"30,998","742,582","3,219",,"1,342","2,176"
Big Bend NP,2008,12,"31,518","743,210","2,882",,"1,874","2,775"
Big Bend NP,2009,1,"38,612","913,130","4,123",,"3,242","2,223"
Big Bend NP,2009,2,"27,275","784,206","2,825",,"5,123","1,778"
Big Bend NP,2009,3,"47,909","1,277,438","6,686",,"4,933","4,914"
Big Bend NP,2009,4,"54,443","1,130,458","5,577",,"3,547","1,250"
Big Bend NP,2009,5,"26,176","576,940","3,142",,749,"1,077"
Big Bend NP,2009,6,"24,593","498,799","2,441",,359,713
Big Bend NP,2009,7,"17,780","334,537",808,,22,684
Big Bend NP,2009,8,"16,096","334,798","1,388",,150,638
Big Bend NP,2009,9,"21,066","477,311","1,612",,295,"1,875"
Big Bend NP,2009,10,"24,435","589,310","3,487",,"1,071","1,078"
Big Bend NP,2009,11,"33,971","806,744","3,866",,"2,600","1,941"
Big Bend NP,2009,12,"31,549","737,965","2,747",,"1,948","2,556"
Big Bend NP,2010,1,"24,619","723,205","3,470",,"3,085","1,932"
Big Bend NP,2010,2,"25,146","732,162","2,168",,"5,283","1,171"
Big Bend NP,2010,3,"66,156","1,573,944","6,541",,"5,337","5,636"
Big Bend NP,2010,4,"53,823","1,197,706","6,486",,"4,610","1,604"
Big Bend NP,2010,5,"30,595","674,198","3,471",,"1,053","1,466"
Big Bend NP,2010,6,"13,561","384,607","2,927",,182,500
Big Bend NP,2010,7,"15,643","362,839","2,379",,175,548
Big Bend NP,2010,8,"34,652","556,057","1,970",,202,501
Big Bend NP,2010,9,"13,458","348,365","1,703",,310,"3,568"
Big Bend NP,2010,10,"15,349","446,478","2,081",,799,977
Big Bend NP,2010,11,"52,485","1,022,414","3,385",,"1,803","2,187"
Big Bend NP,2010,12,"26,843","659,752","2,676",,"1,683","2,622"
Big Bend NP,2011,1,"53,588","1,074,938","3,182",,"3,751","2,041"
Big Bend NP,2011,2,"40,813","851,676","2,236",,"3,819",955
Big Bend NP,2011,3,"39,547","1,187,561","7,352",,"3,808","6,290"
Big Bend NP,2011,4,"15,444","605,087","6,156",,"2,203",668
Big Bend NP,2011,5,"39,919","676,864","2,172",,520,190
Big Bend NP,2011,6,"21,392","424,870","3,214",,187,68
Big Bend NP,2011,7,"15,188","298,396","1,206",,94,49
Big Bend NP,2011,8,"14,541","268,471","1,183",,76,123
Big Bend NP,2011,9,"24,934","399,745",883,,173,401
Big Bend NP,2011,10,"37,912","717,667","2,707",,653,"1,159"
Big Bend NP,2011,11,"40,991","907,841","4,167",,"2,113","2,142"
Big Bend NP,2011,12,"17,593","500,411","1,967",,"1,742","2,168"
Big Bend NP,2012,1,"22,059","644,626","3,298",,"3,101","1,622"
Big Bend NP,2012,2,"45,585","928,760","2,518",,"4,282","1,142"
Big Bend NP,2012,3,"32,590","1,133,952","6,415",,"7,855","4,557"
Big Bend NP,2012,4,"27,375","715,188","4,918",,"1,925",950
Big Bend NP,2012,5,"37,775","655,430","2,641",,418,541
Big Bend NP,2012,6,"19,330","376,176","1,900",,180,506
